Model,MSO54
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09
Record Length,31250,,Record Length,31250,,Record Length,31250,,Record Length,31250
Zero Index,343.90156250,,Zero Index,343.90156250,,Zero Index,343.90156250,,Zero Index,343.90156250
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3,CH4
-1.10048500e-06,1.32812500e-02,-8.75000000e-04,-1.03125000e-03,-2.18750000e-02
-1.09728500e-06,1.65625000e-02,-1.75000000e-03,-3.12500000e-05,-3.54687500e-02
-1.09408500e-06,1.76562500e-02,-1.31250000e-03,-5.31250000e-04,-3.78125000e-02
-1.09088500e-06,1.20312500e-02,-1.84375000e-03,-2.81250000e-04,-3.90625000e-02
-1.08768500e-06,1.06250000e-02,-1.75000000e-03,-4.06250000e-04,-3.39062500e-02
-1.08448500e-06,8.12500000e-03,-2.37500000e-03,-7.81250000e-04,-3.23437500e-02
-1.08128500e-06,9.21875000e-03,-1.75000000e-03,3.43750000e-04,-3.85937500e-02
-1.07808500e-06,8.43750000e-03,-9.06250000e-04,-2.53125000e-03,-3.46875000e-02
-1.07488500e-06,1.06250000e-02,-4.37500000e-04,-1.65625000e-03,-2.60937500e-02
-1.07168500e-06,4.21875000e-03,-1.96875000e-03,-1.15625000e-03,-3.07812500e-02
-1.06848500e-06,7.34375000e-03,-2.81250000e-04,-5.31250000e-04,-3.56250000e-02
-1.06528500e-06,6.71875000e-03,-1.03125000e-03,-1.78125000e-03,-3.34375000e-02
-1.06208500e-06,1.31250000e-02,-8.43750000e-04,-7.81250000e-04,-3.92187500e-02
-1.05888500e-06,1.00000000e-02,-1.56250000e-04,-6.56250000e-04,-3.23437500e-02
-1.05568500e-06,9.06250000e-03,-1.03125000e-03,-1.56250000e-04,-2.51562500e-02
-1.05248500e-06,2.00000000e-02,9.37500000e-05,-4.06250000e-04,-2.25000000e-02
-1.04928500e-06,2.50000000e-02,-9.68750000e-04,-1.28125000e-03,-2.65625000e-02
-1.04608500e-06,2.31250000e-02,-1.65625000e-03,-1.28125000e-03,-2.60937500e-02
-1.04288500e-06,2.00000000e-02,-1.31250000e-03,-3.12500000e-05,-2.28125000e-02
-1.03968500e-06,1.42187500e-02,-8.12500000e-04,-6.56250000e-04,-2.75000000e-02
-1.03648500e-06,1.54687500e-02,5.93750000e-04,-5.31250000e-04,-2.87500000e-02
-1.03328500e-06,8.59375000e-03,-5.31250000e-04,2.18750000e-04,-2.15625000e-02
-1.03008500e-06,7.50000000e-03,-1.43750000e-03,-7.81250000e-04,-1.89062500e-02
-1.02688500e-06,9.53125000e-03,-9.68750000e-04,9.37500000e-05,-3.28125000e-02
-1.02368500e-06,7.03125000e-03,2.77555756e-17,-5.31250000e-04,-2.73437500e-02
