Model,MSO54
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09
Record Length,31250,,Record Length,31250,,Record Length,31250,,Record Length,31250
Zero Index,343.00156250,,Zero Index,343.00156250,,Zero Index,343.00156250,,Zero Index,343.00156250
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3,CH4
-1.09760500e-06,7.50000000e-03,-2.90625000e-03,-3.12500000e-05,-4.67187500e-02
-1.09440500e-06,3.59375000e-03,-1.09375000e-03,-1.56250000e-04,-3.65625000e-02
-1.09120500e-06,8.75000000e-03,-7.50000000e-04,-2.03125000e-03,-4.04687500e-02
-1.08800500e-06,7.03125000e-03,-1.96875000e-03,-1.78125000e-03,-3.60937500e-02
-1.08480500e-06,1.00000000e-02,-6.87500000e-04,-4.06250000e-04,-4.76562500e-02
-1.08160500e-06,8.75000000e-03,-1.62500000e-03,-5.31250000e-04,-3.59375000e-02
-1.07840500e-06,6.09375000e-03,-1.09375000e-03,-1.65625000e-03,-3.50000000e-02
-1.07520500e-06,3.43750000e-03,-9.37500000e-04,-7.81250000e-04,-4.17187500e-02
-1.07200500e-06,1.25000000e-03,-1.34375000e-03,-2.81250000e-04,-3.53125000e-02
-1.06880500e-06,5.15625000e-03,-1.21875000e-03,-1.03125000e-03,-3.50000000e-02
-1.06560500e-06,3.75000000e-03,-5.93750000e-04,-1.03125000e-03,-4.15625000e-02
-1.06240500e-06,-2.96875000e-03,-1.56250000e-04,-2.31250000e-03,-3.34375000e-02
-1.05920500e-06,4.37500000e-03,-5.62500000e-04,-5.31250000e-04,-3.14062500e-02
-1.05600500e-06,7.96875000e-03,-4.06250000e-04,-1.40625000e-03,-3.26562500e-02
-1.05280500e-06,5.93750000e-03,1.25000000e-04,1.06250000e-03,-3.62500000e-02
-1.04960500e-06,7.81250000e-03,-7.18750000e-04,-2.03125000e-03,-3.79687500e-02
-1.04640500e-06,5.15625000e-03,-2.03125000e-03,2.18750000e-04,-3.37500000e-02
-1.04320500e-06,1.25000000e-02,-1.18750000e-03,7.18750000e-04,-3.70312500e-02
-1.04000500e-06,1.75000000e-02,-8.75000000e-04,-1.28125000e-03,-3.23437500e-02
-1.03680500e-06,1.96875000e-02,-1.34375000e-03,-1.56250000e-04,-3.60937500e-02
-1.03360500e-06,5.15625000e-03,-7.18750000e-04,-6.56250000e-04,-3.25000000e-02
-1.03040500e-06,3.75000000e-03,-6.56250000e-04,-2.81250000e-04,-3.59375000e-02
-1.02720500e-06,6.25000000e-03,-5.62500000e-04,-5.31250000e-04,-3.62500000e-02
-1.02400500e-06,1.10937500e-02,-1.62500000e-03,-1.03125000e-03,-3.71875000e-02
-1.02080500e-06,2.03125000e-03,-4.37500000e-04,-5.62500000e-04,-4.17187500e-02
-1.01760500e-06,8.59375000e-03,-3.12500000e-04,-1.15625000e-03,-3.79687500e-02
-1.01440500e-06,2.50000000e-03,-6.25000000e-04,-1.40625000e-03,-3.15625000e-02
-1.01120500e-06,7.34375000e-03,-1.09375000e-03,-1.53125000e-03,-5.00000000e-02
-1.00800500e-06,9.84375000e-03,-8.12500000e-04,-2.06250000e-03,-4.60937500e-02
-1.00480500e-06,9.06250000e-03,-1.43750000e-03,-1.28125000e-03,-4.34375000e-02
-1.00160500e-06,5.15625000e-03,-1.56250000e-04,-2.03125000e-03,-4.85937500e-02
-9.98405000e-07,8.75000000e-03,-5.31250000e-04,-1.15625000e-03,-4.17187500e-02
-9.95205000e-07,3.59375000e-03,-5.93750000e-04,-1.03125000e-03,-4.32812500e-02
-9.92005000e-07,6.71875000e-03,-1.18750000e-03,-1.53125000e-03,-4.64062500e-02
-9.88805000e-07,3.12500000e-03,-1.75000000e-03,-1.56250000e-04,-4.65625000e-02
-9.85605000e-07,1.59375000e-02,-2.15625000e-03,-1.28125000e-03,-4.59375000e-02
