Model,MSO54
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09
Record Length,31250,,Record Length,31250,,Record Length,31250,,Record Length,31250
Zero Index,343.50156250,,Zero Index,343.50156250,,Zero Index,343.50156250,,Zero Index,343.50156250
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3,CH4
-1.09920500e-06,-5.15625000e-03,-1.03125000e-03,-1.65625000e-03,-3.07812500e-02
-1.09600500e-06,-6.40625000e-03,-1.81250000e-03,-1.40625000e-03,-2.85937500e-02
-1.09280500e-06,-3.59375000e-03,-1.31250000e-03,-1.40625000e-03,-3.70312500e-02
-1.08960500e-06,-1.09375000e-03,-9.68750000e-04,-1.03125000e-03,-4.06250000e-02
-1.08640500e-06,3.43750000e-03,-3.43750000e-04,-1.03125000e-03,-3.84375000e-02
-1.08320500e-06,-2.81250000e-03,-1.90625000e-03,-1.28125000e-03,-4.70312500e-02
-1.08000500e-06,3.75000000e-03,-2.21875000e-03,-6.56250000e-04,-4.71875000e-02
-1.07680500e-06,-7.81250000e-04,-2.81250000e-04,-1.53125000e-03,-4.10937500e-02
-1.07360500e-06,-8.59375000e-03,-1.09375000e-03,3.43750000e-04,-4.39062500e-02
-1.07040500e-06,4.21875000e-03,-1.65625000e-03,-5.31250000e-04,-4.78125000e-02
-1.06720500e-06,-2.03125000e-03,-6.25000000e-05,4.68750000e-04,-4.25000000e-02
-1.06400500e-06,-5.46875000e-03,-3.12500000e-05,9.37500000e-05,-3.28125000e-02
-1.06080500e-06,-4.21875000e-03,-1.56250000e-04,-4.06250000e-04,-4.53125000e-02
-1.05760500e-06,3.12500000e-04,3.12500000e-05,-1.03125000e-03,-4.34375000e-02
-1.05440500e-06,-1.56250000e-03,-9.06250000e-04,-1.03125000e-03,-3.89062500e-02
-1.05120500e-06,-2.81250000e-03,-1.34375000e-03,-1.03125000e-03,-3.17187500e-02
-1.04800500e-06,-4.21875000e-03,-2.09375000e-03,-1.53125000e-03,-3.39062500e-02
-1.04480500e-06,-5.78125000e-03,-1.62500000e-03,-6.56250000e-04,-3.42187500e-02
-1.04160500e-06,-8.59375000e-03,-2.00000000e-03,-5.31250000e-04,-4.25000000e-02
-1.03840500e-06,-9.37500000e-04,-1.06250000e-03,-1.78125000e-03,-3.43750000e-02
-1.03520500e-06,-6.71875000e-03,-1.09375000e-03,-1.78125000e-03,-3.70312500e-02
-1.03200500e-06,-3.12500000e-03,-8.75000000e-04,-1.28125000e-03,-5.04687500e-02
-1.02880500e-06,-8.43750000e-03,-1.34375000e-03,2.18750000e-04,-4.50000000e-02
-1.02560500e-06,-9.06250000e-03,-1.50000000e-03,4.37500000e-04,-4.78125000e-02
-1.02240500e-06,-8.75000000e-03,-8.75000000e-04,-4.06250000e-04,-4.75000000e-02
-1.01920500e-06,-3.12500000e-04,-1.87500000e-03,-1.03125000e-03,-4.07812500e-02
-1.01600500e-06,-6.09375000e-03,-1.34375000e-03,-2.40625000e-03,-3.46875000e-02
-1.01280500e-06,-5.78125000e-03,-3.21875000e-03,-1.56250000e-04,-3.82812500e-02
-1.00960500e-06,-3.12500000e-03,-1.25000000e-03,-1.56250000e-04,-4.07812500e-02
-1.00640500e-06,-7.81250000e-04,-2.00000000e-03,-1.31250000e-03,-4.23437500e-02
-1.00320500e-06,-1.09375000e-03,-1.06250000e-03,-2.81250000e-04,-3.59375000e-02
-1.00000500e-06,-3.28125000e-03,-3.12500000e-04,-2.28125000e-03,-3.96875000e-02
-9.96805000e-07,3.59375000e-03,-1.09375000e-03,-8.12500000e-04,-4.46875000e-02
-9.93605000e-07,-2.34375000e-03,-1.59375000e-03,-7.81250000e-04,-4.10937500e-02
-9.90405000e-07,-8.12500000e-03,-1.62500000e-03,-1.15625000e-03,-3.85937500e-02
-9.87205000e-07,-7.34375000e-03,-7.18750000e-04,-1.65625000e-03,-3.60937500e-02
-9.84005000e-07,-1.07812500e-02,-1.62500000e-03,8.43750000e-04,-3.29687500e-02
-9.80805000e-07,-3.12500000e-03,-6.87500000e-04,4.37500000e-04,-4.07812500e-02
-9.77605000e-07,-4.53125000e-03,8.43750000e-04,-1.56250000e-04,-3.71875000e-02
-9.74405000e-07,-7.34375000e-03,-1.31250000e-03,-7.81250000e-04,-3.50000000e-02
