Model,MSO54
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09,,Sample Interval,3.20000000e-09
Record Length,31250,,Record Length,31250,,Record Length,31250,,Record Length,31250
Zero Index,343.45156250,,Zero Index,343.45156250,,Zero Index,343.45156250,,Zero Index,343.45156250
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3,CH4
-1.09904500e-06,9.68750000e-03,-1.28125000e-03,-5.31250000e-04,-1.89062500e-02
-1.09584500e-06,2.50000000e-03,-6.87500000e-04,4.68750000e-04,-1.95312500e-02
-1.09264500e-06,3.90625000e-03,-1.09375000e-03,-7.81250000e-04,-3.14062500e-02
-1.08944500e-06,1.87500000e-03,3.43750000e-04,-1.03125000e-03,-2.40625000e-02
-1.08624500e-06,2.34375000e-03,-1.46875000e-03,-4.06250000e-04,-2.59375000e-02
-1.08304500e-06,5.00000000e-03,-1.06250000e-03,-6.56250000e-04,-2.51562500e-02
-1.07984500e-06,6.09375000e-03,-3.12500000e-04,-2.81250000e-04,-2.21875000e-02
-1.07664500e-06,1.21875000e-02,-8.12500000e-04,7.18750000e-04,-2.64062500e-02
-1.07344500e-06,7.96875000e-03,-5.62500000e-04,8.43750000e-04,-2.03125000e-02
-1.07024500e-06,1.06250000e-02,-1.18750000e-03,-2.81250000e-04,-2.82812500e-02
-1.06704500e-06,1.01562500e-02,-9.68750000e-04,-4.06250000e-04,-2.57812500e-02
-1.06384500e-06,2.15625000e-02,-9.37500000e-04,-4.06250000e-04,-1.92187500e-02
-1.06064500e-06,1.25000000e-02,-6.56250000e-04,-3.12500000e-05,-2.25000000e-02
-1.05744500e-06,1.21875000e-02,-2.46875000e-03,2.18750000e-04,-1.92187500e-02
-1.05424500e-06,1.40625000e-02,-4.37500000e-04,-1.56250000e-04,-2.18750000e-02
-1.05104500e-06,1.15625000e-02,-5.62500000e-04,9.37500000e-05,-2.04687500e-02
-1.04784500e-06,1.65625000e-02,-1.06250000e-03,3.43750000e-04,-1.65625000e-02
-1.04464500e-06,1.70312500e-02,-6.56250000e-04,-7.81250000e-04,-1.81250000e-02
-1.04144500e-06,1.21875000e-02,6.25000000e-05,-3.12500000e-05,-2.00000000e-02
-1.03824500e-06,1.35937500e-02,-1.56250000e-04,2.18750000e-04,-2.07812500e-02
-1.03504500e-06,7.96875000e-03,-8.75000000e-04,5.93750000e-04,-2.68750000e-02
-1.03184500e-06,6.40625000e-03,-8.12500000e-04,2.18750000e-04,-3.03125000e-02
-1.02864500e-06,1.07812500e-02,-1.00000000e-03,-2.81250000e-04,-2.12500000e-02
-1.02544500e-06,1.56250000e-02,-2.37500000e-03,-6.56250000e-04,-1.82812500e-02
-1.02224500e-06,1.14062500e-02,-3.09375000e-03,-5.31250000e-04,-2.50000000e-02
-1.01904500e-06,5.46875000e-03,4.68750000e-04,-1.15625000e-03,-1.96875000e-02
-1.01584500e-06,1.35937500e-02,-1.37500000e-03,-2.81250000e-04,-3.10937500e-02
-1.01264500e-06,6.09375000e-03,-3.12500000e-04,4.68750000e-04,-2.40625000e-02
-1.00944500e-06,3.43750000e-03,-1.21875000e-03,2.18750000e-04,-2.96875000e-02
-1.00624500e-06,4.68750000e-03,6.25000000e-05,1.21875000e-03,-1.89062500e-02
-1.00304500e-06,1.71875000e-03,-1.75000000e-03,-1.40625000e-03,-1.48437500e-02
-9.99845000e-07,1.43750000e-02,-6.56250000e-04,3.43750000e-04,-1.96875000e-02
-9.96645000e-07,7.65625000e-03,-1.31250000e-03,-4.06250000e-04,-2.42187500e-02
-9.93445000e-07,8.28125000e-03,-6.56250000e-04,1.21875000e-03,-1.98437500e-02
-9.90245000e-07,1.14062500e-02,-6.87500000e-04,-1.15625000e-03,-3.00000000e-02
-9.87045000e-07,3.90625000e-03,-1.34375000e-03,-1.90625000e-03,-3.04687500e-02
-9.83845000e-07,1.29687500e-02,-2.12500000e-03,-1.03125000e-03,-2.57812500e-02
-9.80645000e-07,7.65625000e-03,-1.84375000e-03,-1.53125000e-03,-2.32812500e-02
-9.77445000e-07,9.21875000e-03,5.31250000e-04,3.43750000e-04,-2.14062500e-02
-9.74245000e-07,1.40625000e-02,-1.46875000e-03,-9.06250000e-04,-2.95312500e-02
-9.71045000e-07,1.40625000e-02,-1.62500000e-03,-3.12500000e-05,-2.51562500e-02
-9.67845000e-07,7.96875000e-03,-1.50000000e-03,-5.31250000e-04,-2.48437500e-02
-9.64645000e-07,7.96875000e-03,-3.12500000e-04,3.43750000e-04,-3.07812500e-02
-9.61445000e-07,4.84375000e-03,-1.21875000e-03,-5.31250000e-04,-3.26562500e-02
-9.58245000e-07,2.96875000e-03,-1.21875000e-03,-1.56250000e-04,-2.79687500e-02
-9.55045000e-07,-5.93750000e-03,-1.87500000e-04,7.18750000e-04,-2.51562500e-02
-9.51845000e-07,-1.87500000e-03,-1.28125000e-03,-4.06250000e-04,-3.92187500e-02
-9.48645000e-07,5.46875000e-03,-1.34375000e-03,-3.12500000e-05,-3.23437500e-02
-9.45445000e-07,2.65625000e-03,-5.93750000e-04,-5.31250000e-04,-3.43750000e-02
-9.42245000e-07,7.96875000e-03,-9.37500000e-04,-1.53125000e-03,-3.00000000e-02
-9.39045000e-07,1.03125000e-02,-1.06250000e-03,-6.56250000e-04,-3.26562500e-02
-9.35845000e-07,5.15625000e-03,-9.37500000e-05,-1.65625000e-03,-3.81250000e-02
-9.32645000e-07,5.15625000e-03,-1.96875000e-03,-1.18750000e-03,-3.53125000e-02
-9.29445000e-07,9.53125000e-03,3.12500000e-04,-4.06250000e-04,-3.87500000e-02
-9.26245000e-07,1.04687500e-02,-1.00000000e-03,-1.90625000e-03,-4.28125000e-02
-9.23045000e-07,7.50000000e-03,-1.75000000e-03,-1.78125000e-03,-3.82812500e-02
-9.19845000e-07,1.71875000e-03,-1.46875000e-03,-4.06250000e-04,-4.29687500e-02
-9.16645000e-07,-1.56250000e-04,-8.12500000e-04,-6.56250000e-04,-3.73437500e-02
-9.13445000e-07,3.28125000e-03,-1.34375000e-03,-4.06250000e-04,-3.93750000e-02
-9.10245000e-07,-3.12500000e-04,-1.53125000e-03,-3.12500000e-05,-3.03125000e-02
-9.07045000e-07,6.09375000e-03,-1.62500000e-03,-1.40625000e-03,-4.25000000e-02
-9.03845000e-07,-3.12500000e-04,-4.37500000e-04,-7.81250000e-04,-3.09375000e-02
-9.00645000e-07,8.43750000e-03,-1.09375000e-03,-3.12500000e-05,-2.59375000e-02
-8.97445000e-07,4.84375000e-03,-1.84375000e-03,-2.15625000e-03,-3.28125000e-02
-8.94245000e-07,5.31250000e-03,-1.37500000e-03,-1.03125000e-03,-3.25000000e-02
-8.91045000e-07,7.34375000e-03,-2.09375000e-03,-1.65625000e-03,-2.39062500e-02
-8.87845000e-07,4.06250000e-03,-5.93750000e-04,-1.90625000e-03,-2.87500000e-02
-8.84645000e-07,3.90625000e-03,-2.46875000e-03,-2.81250000e-04,-3.17187500e-02
-8.81445000e-07,-1.71875000e-03,-9.68750000e-04,-5.31250000e-04,-3.50000000e-02
-8.78245000e-07,4.37500000e-03,-1.75000000e-03,-6.56250000e-04,-2.78125000e-02
-8.75045000e-07,-1.40625000e-03,-1.75000000e-03,-5.31250000e-04,-3.26562500e-02
-8.71845000e-07,-1.56250000e-04,-7.50000000e-04,-4.06250000e-04,-3.34375000e-02
-8.68645000e-07,1.25000000e-03,-1.09375000e-03,-1.53125000e-03,-4.06250000e-02
-8.65445000e-07,4.21875000e-03,-1.09375000e-03,2.18750000e-04,-3.12500000e-02
-8.62245000e-07,2.81250000e-03,4.06250000e-04,-1.03125000e-03,-2.62500000e-02
-8.59045000e-07,-3.59375000e-03,-1.96875000e-03,-2.81250000e-04,-2.56250000e-02
